std,run,a_doughtemp_f,b_shortening_lbs,c_short_temp_f,d_rework_lbs,e_aging_hours,f_conditioning_lb,resp_1_pitting_number,resp_2_raw_spot_pct,resp_3_bake_shrink_mm
8,1,40,196,50,10,24,0,3.9,20.2,0.83
1,2,40,115,70,10,0,6,6.6,16.7,1.26
3,3,40,115,50,0,24,0,0.88,10.5,1.81
16,4,60,115,50,0,24,6,8.7,4.9,2.68
21,5,60,196,70,0,24,0,6.7,13.1,1.19
6,6,60,196,70,0,0,6,6.4,15.6,0.53
14,7,60,196,50,0,0,0,4.6,13.8,0.8
12,8,60,196,50,10,24,6,5.2,12.2,1.08
19,9,40,115,50,10,0,0,4.1,8.1,1.97
18,10,40,115,50,0,0,6,4.8,5.6,0.59
5,11,40,196,70,10,0,6,7.2,25.6,0.29
4,12,60,196,70,10,0,0,11,12.5,0.52
17,13,40,196,70,0,0,0,5.5,25.4,1.05
9,14,60,115,70,0,0,0,56,7.2,2.23
13,15,40,196,50,0,24,6,6,23.4,0.01
2,16,60,196,50,0,0,0,8,9.9,1.21
11,17,60,115,50,10,24,0,8.1,1.4,3.94
10,18,60,115,70,10,24,6,16,0.43,2.55
7,19,60,115,50,10,0,6,55,6.9,2.57
20,20,40,196,70,10,24,6,4.5,22.4,0.12
15,21,40,115,70,10,24,0,1.6,6.1,2.37
22,22,40,115,70,0,24,6,1.4,11,1.5
